model,split,MAE,RMSE
mean_baseline,train,64.65651833392668,77.33077239266763
mean_baseline,val,67.51616638078903,76.1613636533489
mean_baseline,test,66.72885308458767,76.90570132709547
gradient_descent_lr_0.01,train,50.952154994453224,61.44717567729313
gradient_descent_lr_0.01,val,49.204918915578475,60.83351920786383
gradient_descent_lr_0.01,test,55.21098544494551,67.04505219332383
gradient_descent_lr_0.1,train,50.95219065134355,61.44717533475079
gradient_descent_lr_0.1,val,49.205121728237,60.83306853752704
gradient_descent_lr_0.1,test,55.21065713713019,67.04404354626588
sklearn_linear_regression,train,50.95219065134356,61.447175334750796
sklearn_linear_regression,val,49.205121728237,60.83306853752704
sklearn_linear_regression,test,55.21065713713019,67.04404354626587
